0,456170229101620,Kamran Patel,15
1,063325829287322,Shak Shah,20
2,132110770302822,Bob Smtih,15
3,118631896844631,Bob Smtih,15
4,816633009340007,Uwais Patel,15
5,700746250946422,Darb Gazey,10
6,900230482588829,Ave Goldfinch,25
7,777764321566037,Harlan Nalder,15
8,768647976316454,Shak Shah,20
9,362638372135537,Amit Bhudia,20
10,885607805252775,Shak Shah,20
11,222075178745396,Bob Smtih,25
12,025144186139792,Darb Gazey,10
13,979885344961030,Bob Smtih,20
14,870184206008990,Ave Goldfinch,15
15,088770412465124,Usaamah Lakada,15
16,259474258740592,Shak Shah,20
17,412566578369282,Harlan Nalder,15
18,186160388215643,Sonia Parmer,25
19,782546398269308,Shak Shah,15
20,556464258411562,Darb Gazey,10
21,479562801388696,Sonia Parmer,10
22,486799916539543,Harlan Nalder,25
23,312854248337172,Bob Smtih,15
24,302413963852141,Sonia Parmer,25
25,647704686068282,Bob Smtih,20
26,315453356984493,Amit Bhudia,10
27,314725578776946,Darb Gazey,10
28,948275148150392,Amit Bhudia,20
29,085298525612758,Usaamah Lakada,15
30,511645693890593,Rozelle Shouler,25
31,992279383837295,Amit Bhudia,25
32,704905311870825,Rozelle Shouler,15
33,288390156012214,Harlan Nalder,15
34,161801103149776,Darb Gazey,20
35,933813642979730,Shak Shah,15
36,518087712588060,Usaamah Lakada,10
37,649739072939845,Ave Goldfinch,10
38,361110421288069,Darb Gazey,20
39,957145516942786,Kamran Patel,20
40,074535123895720,Ave Goldfinch,25
41,162890245958962,Amit Bhudia,25
42,211766122229288,Bob Smtih,15
43,913612678090995,Darb Gazey,15
44,818806794884962,Kamran Patel,20
45,913681570019491,Darb Gazey,15
46,711616330125729,Shak Shah,15
47,306468047645370,Harlan Nalder,25
48,517231107953757,Usaamah Lakada,20
49,727289159461270,Uwais Patel,15
50,896704751270023,Shak Shah,15
52,0268745971235478,Usaamah Lakada,25
53,1111111111111111,sefdd,0
